cell_id	poi_count_total	poi_amenity_count	poi_shop_count	poi_tourism_count	poi_leisure_count	poi_office_count	poi_public_transport_count	poi_log1p_total
5_45	0	0	0	0	0	0	0	0.0
5_46	0	0	0	0	0	0	0	0.0
5_47	0	0	0	0	0	0	0	0.0
5_48	0	0	0	0	0	0	0	0.0
5_49	0	0	0	0	0	0	0	0.0
5_50	0	0	0	0	0	0	0	0.0
5_51	0	0	0	0	0	0	0	0.0
5_52	0	0	0	0	0	0	0	0.0
5_53	2	1	0	0	1	0	0	1.0986122886681098
5_54	11	9	0	0	0	0	2	2.4849066497880004
5_55	0	0	0	0	0	0	0	0.0
5_56	0	0	0	0	0	0	0	0.0
5_57	0	0	0	0	0	0	0	0.0
5_58	1	1	0	0	0	0	0	0.6931471805599453
5_59	0	0	0	0	0	0	0	0.0
5_60	0	0	0	0	0	0	0	0.0
5_61	10	7	0	0	3	0	0	2.3978952727983707
5_62	0	0	0	0	0	0	0	0.0
5_63	0	0	0	0	0	0	0	0.0
5_64	0	0	0	0	0	0	0	0.0
5_65	0	0	0	0	0	0	0	0.0
5_66	0	0	0	0	0	0	0	0.0
5_67	6	4	1	1	0	0	0	1.9459101490553132
5_68	0	0	0	0	0	0	0	0.0
5_69	0	0	0	0	0	0	0	0.0
5_70	0	0	0	0	0	0	0	0.0
5_71	0	0	0	0	0	0	0	0.0
5_72	0	0	0	0	0	0	0	0.0
5_73	0	0	0	0	0	0	0	0.0
5_74	0	0	0	0	0	0	0	0.0
5_75	0	0	0	0	0	0	0	0.0
5_76	0	0	0	0	0	0	0	0.0
5_77	9	4	1	1	0	0	3	2.302585092994046
5_78	1	0	0	1	0	0	0	0.6931471805599453
5_79	1	0	0	1	0	0	0	0.6931471805599453
5_80	0	0	0	0	0	0	0	0.0
5_81	6	2	0	4	0	0	0	1.9459101490553132
5_82	9	1	0	8	0	0	0	2.302585092994046
5_83	8	4	0	4	0	0	0	2.1972245773362196
5_84	0	0	0	0	0	0	0	0.0
5_85	1	0	0	1	0	0	0	0.6931471805599453
5_86	0	0	0	0	0	0	0	0.0
5_87	1	1	0	0	0	0	0	0.6931471805599453
5_88	0	0	0	0	0	0	0	0.0
5_89	0	0	0	0	0	0	0	0.0
5_90	1	0	0	1	0	0	0	0.6931471805599453
5_91	4	0	1	0	2	1	0	1.6094379124341003
5_92	38	21	3	1	13	0	0	3.6635616461296463
5_93	32	17	1	0	8	1	5	3.4965075614664802
5_94	101	64	7	4	23	0	3	4.624972813284271
5_95	33	17	4	1	4	1	6	3.5263605246161616
5_96	2	2	0	0	0	0	0	1.0986122886681098
5_97	0	0	0	0	0	0	0	0.0
5_98	0	0	0	0	0	0	0	0.0
5_99	0	0	0	0	0	0	0	0.0
5_100	0	0	0	0	0	0	0	0.0
6_1	0	0	0	0	0	0	0	0.0
6_2	0	0	0	0	0	0	0	0.0
6_3	0	0	0	0	0	0	0	0.0
6_4	0	0	0	0	0	0	0	0.0
6_5	0	0	0	0	0	0	0	0.0
6_6	0	0	0	0	0	0	0	0.0
6_7	0	0	0	0	0	0	0	0.0
6_8	0	0	0	0	0	0	0	0.0
6_9	0	0	0	0	0	0	0	0.0
6_10	0	0	0	0	0	0	0	0.0
6_11	0	0	0	0	0	0	0	0.0
6_12	0	0	0	0	0	0	0	0.0
6_13	0	0	0	0	0	0	0	0.0
6_14	19	10	0	3	6	0	0	2.995732273553991
6_15	37	22	2	1	12	0	0	3.6375861597263857
6_16	55	31	2	4	7	0	11	4.02535169073515
6_17	45	27	9	4	5	0	0	3.828641396489095
6_18	13	12	0	0	1	0	0	2.6390573296152584
6_19	4	4	0	0	0	0	0	1.6094379124341003
6_20	7	5	0	1	0	1	0	2.0794415416798357
6_21	10	7	0	3	0	0	0	2.3978952727983707
6_22	1	0	0	0	1	0	0	0.6931471805599453
6_23	2	1	0	1	0	0	0	1.0986122886681098
6_24	0	0	0	0	0	0	0	0.0
6_25	0	0	0	0	0	0	0	0.0
6_26	0	0	0	0	0	0	0	0.0
6_27	0	0	0	0	0	0	0	0.0
6_28	0	0	0	0	0	0	0	0.0
6_29	0	0	0	0	0	0	0	0.0
6_30	0	0	0	0	0	0	0	0.0
6_31	12	12	0	0	0	0	0	2.5649493574615367
6_32	0	0	0	0	0	0	0	0.0
6_33	1	0	0	1	0	0	0	0.6931471805599453
6_34	0	0	0	0	0	0	0	0.0
6_35	0	0	0	0	0	0	0	0.0
6_36	0	0	0	0	0	0	0	0.0
6_37	0	0	0	0	0	0	0	0.0
6_38	0	0	0	0	0	0	0	0.0
6_39	0	0	0	0	0	0	0	0.0
6_40	0	0	0	0	0	0	0	0.0
6_41	1	0	0	1	0	0	0	0.6931471805599453
6_42	0	0	0	0	0	0	0	0.0
6_43	0	0	0	0	0	0	0	0.0
6_44	0	0	0	0	0	0	0	0.0
6_45	0	0	0	0	0	0	0	0.0
6_46	0	0	0	0	0	0	0	0.0
